id,target_skill,should_activate,prompt,reason
A001,dsa-tutor,true,"Help me solve Two Sum, but don't just give me the answer, ask me questions.","Learner wants guided, incremental problem solving without an immediate solution, the core dsa-tutor use case."
A002,dsa-tutor,true,"I'm stuck on this LeetCode problem and want to actually understand it, not just copy a solution.",General guided problem-solving request for a DSA/LeetCode-style problem.
A003,dsa-tutor,true,Can you walk me through Longest Increasing Subsequence step by step? I want to build the approach myself.,Explicit request for the full Socratic walkthrough dsa-tutor provides.
A004,dsa-tutor,false,"Just give me the full working solution to Merge Intervals in Python, no explanation needed.",Learner explicitly opts out of the learning process this skill protects; no skill here should just hand over finished code on request.
A005,dsa-tutor,false,What does the input to this problem actually look like — is the array sorted or not?,"This is a problem-decoding question about input format, not a request to build an approach; belongs to problem-decoder."
A006,dsa-tutor,false,"I already have working code, I just want to know its Big-O.","Learner has a working approach and wants pure complexity derivation, which is complexity-coach's job."
A007,dsa-tutor,true,"I don't even know where to start with this graph problem, can you help me think through it?","Open-ended request to begin reasoning about an unsolved DSA problem, the default entry point for dsa-tutor."
A008,dsa-tutor,false,"Can you quiz me on this problem like a real interview, with a time limit and no hints?","Learner explicitly wants interview pressure and minimal hints, which is mock-interviewer's mode, not dsa-tutor's."
A009,problem-decoder,true,"Here's a problem statement I just found, I don't even understand what it's asking yet.","Raw, unread problem statement with no attempt at solving — the core problem-decoder use case."
A010,problem-decoder,true,Can you help me figure out the exact input and output format for this problem before I try anything?,Explicit request to pin down input/output format prior to solving.
A011,problem-decoder,true,What edge cases does this problem statement imply that aren't spelled out directly?,"Edge-case extraction from a problem statement, a core problem-decoder task."
A012,problem-decoder,false,"I understand the problem fine, I just don't know what approach to use.","Learner has already decoded the problem and needs approach-building help, which is dsa-tutor's job."
A013,problem-decoder,false,"Given the constraint n <= 10^5, what's a fast enough approach here?","This moves from reading constraints into approach design, which problem-decoder explicitly avoids and hands off to dsa-tutor."
A014,problem-decoder,false,"My code passes the examples but fails a hidden test case, can you help me find why?","This is a debugging request with existing code and an observed failure, which belongs to debug-coach."
